op_id,block_type,repeat,layers,h1,h2,h3,h4,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped,caveat
817,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda, d_chunk, d_head_kda], [B*n_h_kda, d_head_kda, d_head_kda]]",,,"[[B*n_h_kda, d_chunk, d_head_kda]]","[9, 147, 281, 283, 416, 418, 551, 553, 686, 688]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
818,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
819,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda, d_chunk, d_head_kda], [B*n_h_kda, d_head_kda, d_head_kda]]",,,"[[B*n_h_kda, d_chunk, d_head_kda]]","[7, 9, 281, 283, 416, 418, 551, 553, 686, 688, 818]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
820,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda, d_chunk, d_chunk], [B*n_h_kda, d_chunk, d_head_kda]]",,,"[[B*n_h_kda, d_chunk, d_head_kda]]","[148, 817]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
821,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda]]",,,"[[B, n_h_kda, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
822,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
823,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda, d_head_kda, d_chunk], [B*n_h_kda, d_chunk, d_head_kda]]",,,"[[B*n_h_kda, d_head_kda, d_head_kda]]","[9, 148, 817, 822]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
824,attn+FFN,1,0,self_attn,g_proj,,,matmul,"[[B*T, d_model], [d_model, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_model]",1,"[[B*T, n_h_kda*d_head_kda]]",[2],0,self_attn,g_proj,2,model.layers.0.self_attn.g_proj,aten.mm.default,[model.layers.0.self_attn.g_proj.weight],prefill,False,
825,attn+FFN,1,0,self_attn,o_norm,,,rmsnorm,"[[B, T, n_h_kda, d_head_kda]]",[d_head_kda],-1,"[[B, T, n_h_kda, d_head_kda]]","[11, 824]",0,self_attn,o_norm,2,model.layers.0.self_attn.o_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul+sigmoid+mul,[model.layers.0.self_attn.o_norm.weight],prefill,False,
826,attn+FFN,1,0,self_attn,o_proj,,,matmul,"[[B*T, n_h_kda*d_head_kda], [n_h_kda*d_head_kda, d_model]]","[d_model, n_h_kda*d_head_kda]",1,"[[B*T, d_model]]",[825],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],prefill,False,
827,attn+FFN,1,0,,,,,concat,"[[B*T, 1, d_model], [B*T, 1, d_model]]",,,"[[B*T, 2, d_model]]","[1, 826]",0,,,0,model.layers.0,aten.cat.default,[],prefill,False,
828,attn+FFN,1,0,,,,,elementwise_mul,"[[B*T, 2, d_model], [B*T, 2, 1]]",,,"[[B*T, 2, d_model]]",[827],0,,,0,model.layers.0,aten.mul.Tensor,[],prefill,False,
829,attn+FFN,1,0,,,,,elementwise_mul,"[[d_model], [d_model]]",,,[[d_model]],[],0,,,0,model.layers.0,aten.mul.Tensor,[model.layers.0.mlp_res_norm.weight],prefill,False,
830,attn+FFN,1,0,,,,,elementwise_mul,"[[B*T, 2, d_model], [d_model]]",,,"[[B*T, 2, d_model]]","[828, 829]",0,,,0,model.layers.0,aten.mul.Tensor,[],prefill,False,
831,attn+FFN,1,0,,,,,sum,"[[B*T, 2, d_model]]",,,"[[B*T, 2]]",[830],0,,,0,model.layers.0,aten.sum.dim_IntList,[],prefill,True,
832,attn+FFN,1,0,,,,,softmax,"[[B*T, 2]]",,,"[[B*T, 2]]",[831],0,,,0,model.layers.0,aten._softmax.default,[],prefill,False,
833,attn+FFN,1,0,,,,,batched_matmul,"[[B*T, 1, 2], [B*T, 2, d_model]]",,,"[[B*T, 1, d_model]]","[827, 832]",0,,,0,model.layers.0,aten.bmm.default,[],prefill,False,
834,attn+FFN,1,0,post_attention_layernorm,,,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[833],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.post_attention_layernorm.weight],prefill,False,
835,attn+FFN,1,0,mlp,gate_proj,,,matmul,"[[B*T, d_model], [d_model, d_ff]]","[d_ff, d_model]",1,"[[B*T, d_ff]]",[834],0,mlp,gate_proj,2,model.layers.0.mlp.gate_proj,aten.mm.default,[model.layers.0.mlp.gate_proj.weight],prefill,False,
836,attn+FFN,1,0,mlp,up_proj,,,matmul,"[[B*T, d_model], [d_model, d_ff]]","[d_ff, d_model]",1,"[[B*T, d_ff]]",[834],0,mlp,up_proj,2,model.layers.0.mlp.up_proj,aten.mm.default,[model.layers.0.mlp.up_proj.weight],prefill,False,
837,attn+FFN,1,0,mlp,,,,concat,"[[B, T, d_ff], [B, T, d_ff]]",,,"[[B, T, 2*d_ff]]","[835, 836]",0,mlp,,1,model.layers.0.mlp,aten.cat.default,[],prefill,False,
838,attn+FFN,1,0,mlp,act_fn,,,tanh,"[[B, T, d_ff]]",,,"[[B, T, d_ff]]",[837],0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.tanh.default,[],prefill,False,
839,attn+FFN,1,0,mlp,act_fn,,,elementwise_mul,"[[B, T, d_ff]]",,,"[[B, T, d_ff]]",[838],0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.mul.Tensor,[],prefill,False,
840,attn+FFN,1,0,mlp,act_fn,,,sigmoid,"[[B, T, d_ff]]",,,"[[B, T, d_ff]]",[837],0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.sigmoid.default,[],prefill,False,
841,attn+FFN,1,0,mlp,act_fn,,,elementwise_mul,"[[B, T, d_ff], [B, T, d_ff]]",,,"[[B, T, d_ff]]","[839, 840]",0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.mul.Tensor,[],prefill,False,
842,attn+FFN,1,0,mlp,act_fn,,,tanh,"[[B, T, d_ff]]",,,"[[B, T, d_ff]]",[837],0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.tanh.default,[],prefill,False,
843,attn+FFN,1,0,mlp,act_fn,,,elementwise_mul,"[[B, T, d_ff]]",,,"[[B, T, d_ff]]",[842],0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.mul.Tensor,[],prefill,False,
844,attn+FFN,1,0,mlp,act_fn,,,elementwise_mul,"[[B, T, d_ff], [B, T, d_ff]]",,,"[[B, T, d_ff]]","[841, 843]",0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.mul.Tensor,[],prefill,False,
845,attn+FFN,1,0,mlp,down_proj,,,matmul,"[[B*T, d_ff], [d_ff, d_model]]","[d_model, d_ff]",1,"[[B*T, d_model]]",[844],0,mlp,down_proj,2,model.layers.0.mlp.down_proj,aten.mm.default,[model.layers.0.mlp.down_proj.weight],prefill,False,
846,attn+FFN,1,0,,,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,,"[[B, T, d_model]]","[826, 845]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False,
847,attn+MoE,8,"1-2,4-6,8-10",,,,,concat,"[[B*T, 1, d_model], [B*T, 1, d_model]]",,,"[[B*T, 2, d_model]]","[1, 846]",1,,,0,model.layers.1,aten.cat.default,[],prefill,False,
848,attn+MoE,8,"1-2,4-6,8-10",,,,,elementwise_mul,"[[B*T, 2, d_model], [B*T, 2, 1]]",,,"[[B*T, 2, d_model]]",[847],1,,,0,model.layers.1,aten.mul.Tensor,[],prefill,False,
849,attn+MoE,8,"1-2,4-6,8-10",,,,,elementwise_mul,"[[d_model], [d_model]]",,,[[d_model]],[],1,,,0,model.layers.1,aten.mul.Tensor,[model.layers.1.self_attention_res_norm.weight],prefill,False,
850,attn+MoE,8,"1-2,4-6,8-10",,,,,elementwise_mul,"[[B*T, 2, d_model], [d_model]]",,,"[[B*T, 2, d_model]]","[848, 849]",1,,,0,model.layers.1,aten.mul.Tensor,[],prefill,False,
851,attn+MoE,8,"1-2,4-6,8-10",,,,,sum,"[[B*T, 2, d_model]]",,,"[[B*T, 2]]",[850],1,,,0,model.layers.1,aten.sum.dim_IntList,[],prefill,True,
852,attn+MoE,8,"1-2,4-6,8-10",,,,,softmax,"[[B*T, 2]]",,,"[[B*T, 2]]",[851],1,,,0,model.layers.1,aten._softmax.default,[],prefill,False,
853,attn+MoE,8,"1-2,4-6,8-10",,,,,batched_matmul,"[[B*T, 1, 2], [B*T, 2, d_model]]",,,"[[B*T, 1, d_model]]","[847, 852]",1,,,0,model.layers.1,aten.bmm.default,[],prefill,False,
854,attn+MoE,8,"1-2,4-6,8-10",input_layernorm,,,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[853],1,input_layernorm,,1,model.layers.1.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.1.input_layernorm.weight],prefill,False,
855,attn+MoE,8,"1-2,4-6,8-10",self_attn,q_proj,,,matmul,"[[B*T, d_model], [d_model, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_model]",1,"[[B*T, n_h_kda*d_head_kda]]",[854],1,self_attn,q_proj,2,model.layers.1.self_attn.q_proj,aten.mm.default,[model.layers.1.self_attn.q_proj.weight],prefill,False,
856,attn+MoE,8,"1-2,4-6,8-10",self_attn,k_proj,,,matmul,"[[B*T, d_model], [d_model, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_model]",1,"[[B*T, n_h_kda*d_head_kda]]",[854],1,self_attn,k_proj,2,model.layers.1.self_attn.k_proj,aten.mm.default,[model.layers.1.self_attn.k_proj.weight],prefill,False,
857,attn+MoE,8,"1-2,4-6,8-10",self_attn,v_proj,,,matmul,"[[B*T, d_model], [d_model, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_model]",1,"[[B*T, n_h_kda*d_head_kda]]",[854],1,self_attn,v_proj,2,model.layers.1.self_attn.v_proj,aten.mm.default,[model.layers.1.self_attn.v_proj.weight],prefill,False,
858,attn+MoE,8,"1-2,4-6,8-10",self_attn,q_conv1d,conv,,conv1d,"[[B, n_h_kda*d_head_kda, T], [n_h_kda*d_head_kda, 1, d_conv]]","[n_h_kda*d_head_kda, 1, d_conv]",1,"[[B, n_h_kda*d_head_kda, T+d_conv-1]]",[855],1,self_attn,q_conv1d,3,model.layers.1.self_attn.q_conv1d.conv,aten.convolution.default,[model.layers.1.self_attn.q_conv1d.conv.weight],prefill,False,
859,attn+MoE,8,"1-2,4-6,8-10",self_attn,q_conv1d,,,silu,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[858],1,self_attn,q_conv1d,2,model.layers.1.self_attn.q_conv1d,aten.silu.default,[],prefill,False,
860,attn+MoE,8,"1-2,4-6,8-10",self_attn,k_conv1d,conv,,conv1d,"[[B, n_h_kda*d_head_kda, T], [n_h_kda*d_head_kda, 1, d_conv]]","[n_h_kda*d_head_kda, 1, d_conv]",1,"[[B, n_h_kda*d_head_kda, T+d_conv-1]]",[856],1,self_attn,k_conv1d,3,model.layers.1.self_attn.k_conv1d.conv,aten.convolution.default,[model.layers.1.self_attn.k_conv1d.conv.weight],prefill,False,
861,attn+MoE,8,"1-2,4-6,8-10",self_attn,k_conv1d,,,silu,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[860],1,self_attn,k_conv1d,2,model.layers.1.self_attn.k_conv1d,aten.silu.default,[],prefill,False,
862,attn+MoE,8,"1-2,4-6,8-10",self_attn,v_conv1d,conv,,conv1d,"[[B, n_h_kda*d_head_kda, T], [n_h_kda*d_head_kda, 1, d_conv]]","[n_h_kda*d_head_kda, 1, d_conv]",1,"[[B, n_h_kda*d_head_kda, T+d_conv-1]]",[857],1,self_attn,v_conv1d,3,model.layers.1.self_attn.v_conv1d.conv,aten.convolution.default,[model.layers.1.self_attn.v_conv1d.conv.weight],prefill,False,
863,attn+MoE,8,"1-2,4-6,8-10",self_attn,v_conv1d,,,silu,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[862],1,self_attn,v_conv1d,2,model.layers.1.self_attn.v_conv1d,aten.silu.default,[],prefill,False,
864,attn+MoE,8,"1-2,4-6,8-10",self_attn,f_a_proj,,,matmul,"[[B*T, d_model], [d_model, d_head_kda]]","[d_head_kda, d_model]",1,"[[B*T, d_head_kda]]",[854],1,self_attn,f_a_proj,2,model.layers.1.self_attn.f_a_proj,aten.mm.default,[model.layers.1.self_attn.f_a_proj.weight],prefill,False,
865,attn+MoE,8,"1-2,4-6,8-10",self_attn,f_b_proj,,,matmul,"[[B*T, d_head_kda], [d_head_kda, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_head_kda]",1,"[[B*T, n_h_kda*d_head_kda]]",[864],1,self_attn,f_b_proj,2,model.layers.1.self_attn.f_b_proj,aten.mm.default,[model.layers.1.self_attn.f_b_proj.weight],prefill,False,
866,attn+MoE,8,"1-2,4-6,8-10",self_attn,b_proj,,,matmul,"[[B*T, d_model], [d_model, n_h_kda]]","[n_h_kda, d_model]",1,"[[B*T, n_h_kda]]",[854],1,self_attn,b_proj,2,model.layers.1.self_attn.b_proj,aten.mm.default,[model.layers.1.self_attn.b_proj.weight],prefill,False,
867,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[n_h_kda, 1]]",,,"[[n_h_kda, 1]]",[],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[model.layers.1.self_attn.A_log],prefill,False,
868,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,sigmoid,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]","[865, 867]",1,self_attn,,1,model.layers.1.self_attn,aten.sigmoid.default,[],prefill,False,
869,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,sigmoid,"[[B, T, n_h_kda]]",,,"[[B, T, n_h_kda]]",[866],1,self_attn,,1,model.layers.1.self_attn,aten.sigmoid.default,[],prefill,False,
870,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
871,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 870]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
872,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
873,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 872]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
874,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
875,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 874]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
876,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
877,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 876]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
878,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
879,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 878]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
880,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
881,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 880]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
882,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
883,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 882]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
884,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
885,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 884]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
886,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
887,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 886]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
888,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
889,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 888]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
890,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
891,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 890]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
892,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
893,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 892]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
894,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
895,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 894]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
896,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
897,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 896]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
898,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
899,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 898]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
900,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
901,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 900]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
902,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
903,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 902]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
904,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
905,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 904]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
906,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
907,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 906]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
908,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
909,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[861, 908]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False,
910,attn+MoE,8,"1-2,4-6,8-10",self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[868],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False,
