op_id,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped,caveat
4476,linear_attn,in_proj_qkv,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[4474],5,linear_attn,in_proj_qkv,2,model.layers.5.linear_attn.in_proj_qkv,aten.view.default,[],prefill,True,
4477,linear_attn,in_proj_qkv,matmul,"[[T, d_model], [d_model, 2*d_k_lin+d_v_lin]]","[2*d_k_lin+d_v_lin, d_model]",1,"[[T, 2*d_k_lin+d_v_lin]]","[4475, 4476]",5,linear_attn,in_proj_qkv,2,model.layers.5.linear_attn.in_proj_qkv,aten.mm.default,[model.layers.5.linear_attn.in_proj_qkv.weight],prefill,False,
4478,linear_attn,in_proj_qkv,_unsafe_view,"[[T, 2*d_k_lin+d_v_lin]]",,,"[[B, T, 2*d_k_lin+d_v_lin]]",[4477],5,linear_attn,in_proj_qkv,2,model.layers.5.linear_attn.in_proj_qkv,aten._unsafe_view.default,[],prefill,True,
4479,linear_attn,,transpose,"[[B, T, 2*d_k_lin+d_v_lin]]",,,"[[B, 2*d_k_lin+d_v_lin, T]]",[4478],5,linear_attn,,1,model.layers.5.linear_attn,aten.transpose.int,[],prefill,True,
4480,linear_attn,in_proj_z,t,"[[n_v*d_v, d_model]]","[n_v*d_v, d_model]",0,"[[d_model, n_v*d_v]]",[],5,linear_attn,in_proj_z,2,model.layers.5.linear_attn.in_proj_z,aten.t.default,[model.layers.5.linear_attn.in_proj_z.weight],prefill,True,
4481,linear_attn,in_proj_z,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[4474],5,linear_attn,in_proj_z,2,model.layers.5.linear_attn.in_proj_z,aten.view.default,[],prefill,True,
4482,linear_attn,in_proj_z,matmul,"[[T, d_model], [d_model, n_v*d_v]]","[n_v*d_v, d_model]",1,"[[T, n_v*d_v]]","[4480, 4481]",5,linear_attn,in_proj_z,2,model.layers.5.linear_attn.in_proj_z,aten.mm.default,[model.layers.5.linear_attn.in_proj_z.weight],prefill,False,
4483,linear_attn,in_proj_z,_unsafe_view,"[[T, n_v*d_v]]",,,"[[B, T, n_v*d_v]]",[4482],5,linear_attn,in_proj_z,2,model.layers.5.linear_attn.in_proj_z,aten._unsafe_view.default,[],prefill,True,
4484,linear_attn,,view,"[[B, T, n_v*d_v]]",,,"[[B, T, n_h_lin_v, d_head_lin_v]]",[4483],5,linear_attn,,1,model.layers.5.linear_attn,aten.view.default,[],prefill,True,
4485,linear_attn,in_proj_b,t,"[[n_h_lin_v, d_model]]","[n_h_lin_v, d_model]",0,"[[d_model, n_h_lin_v]]",[],5,linear_attn,in_proj_b,2,model.layers.5.linear_attn.in_proj_b,aten.t.default,[model.layers.5.linear_attn.in_proj_b.weight],prefill,True,
4486,linear_attn,in_proj_b,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[4474],5,linear_attn,in_proj_b,2,model.layers.5.linear_attn.in_proj_b,aten.view.default,[],prefill,True,
4487,linear_attn,in_proj_b,matmul,"[[T, d_model], [d_model, n_h_lin_v]]","[n_h_lin_v, d_model]",1,"[[T, n_h_lin_v]]","[4485, 4486]",5,linear_attn,in_proj_b,2,model.layers.5.linear_attn.in_proj_b,aten.mm.default,[model.layers.5.linear_attn.in_proj_b.weight],prefill,False,
4488,linear_attn,in_proj_b,_unsafe_view,"[[T, n_h_lin_v]]",,,"[[B, T, n_h_lin_v]]",[4487],5,linear_attn,in_proj_b,2,model.layers.5.linear_attn.in_proj_b,aten._unsafe_view.default,[],prefill,True,
4489,linear_attn,in_proj_a,t,"[[n_h_lin_v, d_model]]","[n_h_lin_v, d_model]",0,"[[d_model, n_h_lin_v]]",[],5,linear_attn,in_proj_a,2,model.layers.5.linear_attn.in_proj_a,aten.t.default,[model.layers.5.linear_attn.in_proj_a.weight],prefill,True,
4490,linear_attn,in_proj_a,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[4474],5,linear_attn,in_proj_a,2,model.layers.5.linear_attn.in_proj_a,aten.view.default,[],prefill,True,
4491,linear_attn,in_proj_a,matmul,"[[T, d_model], [d_model, n_h_lin_v]]","[n_h_lin_v, d_model]",1,"[[T, n_h_lin_v]]","[4489, 4490]",5,linear_attn,in_proj_a,2,model.layers.5.linear_attn.in_proj_a,aten.mm.default,[model.layers.5.linear_attn.in_proj_a.weight],prefill,False,
4492,linear_attn,in_proj_a,_unsafe_view,"[[T, n_h_lin_v]]",,,"[[B, T, n_h_lin_v]]",[4491],5,linear_attn,in_proj_a,2,model.layers.5.linear_attn.in_proj_a,aten._unsafe_view.default,[],prefill,True,
4493,linear_attn,,constant_pad_nd,"[[B, 2*d_k_lin+d_v_lin, T]]",,,"[[B, 2*d_k_lin+d_v_lin, d_conv_lin]]",[4479],5,linear_attn,,1,model.layers.5.linear_attn,aten.constant_pad_nd.default,[],prefill,True,
4494,linear_attn,,zeros,[],,,"[[B, 2*d_k_lin+d_v_lin, d_conv_lin]]",[],5,linear_attn,,1,model.layers.5.linear_attn,aten.zeros.default,[],prefill,True,
4495,linear_attn,,slice,"[[B, 2*d_k_lin+d_v_lin, d_conv_lin]]",,,"[[B, 2*d_k_lin+d_v_lin, d_conv_lin]]",[4493],5,linear_attn,,1,model.layers.5.linear_attn,aten.slice.Tensor,[],prefill,True,
4496,linear_attn,,copy_,"[[B, 2*d_k_lin+d_v_lin, d_conv_lin], [B, 2*d_k_lin+d_v_lin, d_conv_lin]]",,,"[[B, 2*d_k_lin+d_v_lin, d_conv_lin]]","[4494, 4495]",5,linear_attn,,1,model.layers.5.linear_attn,aten.copy_.default,[],prefill,True,
4497,linear_attn,conv1d,conv1d,"[[B, 2*d_k_lin+d_v_lin, T], [2*d_k_lin+d_v_lin, 1, d_conv_lin]]","[2*d_k_lin+d_v_lin, 1, d_conv_lin]",1,"[[B, 2*d_k_lin+d_v_lin, T+d_conv_lin-1]]",[4479],5,linear_attn,conv1d,2,model.layers.5.linear_attn.conv1d,aten.convolution.default,[model.layers.5.linear_attn.conv1d.weight],prefill,False,
4498,linear_attn,,slice,"[[B, 2*d_k_lin+d_v_lin, T+d_conv_lin-1]]",,,"[[B, 2*d_k_lin+d_v_lin, T]]",[4497],5,linear_attn,,1,model.layers.5.linear_attn,aten.slice.Tensor,[],prefill,True,
4499,linear_attn,,silu,"[[B, 2*d_k_lin+d_v_lin, T]]",,,"[[B, 2*d_k_lin+d_v_lin, T]]",[4498],5,linear_attn,,1,model.layers.5.linear_attn,aten.silu.default,[],prefill,False,
4500,linear_attn,,transpose,"[[B, 2*d_k_lin+d_v_lin, T]]",,,"[[B, T, 2*d_k_lin+d_v_lin]]",[4499],5,linear_attn,,1,model.layers.5.linear_attn,aten.transpose.int,[],prefill,True,
4501,linear_attn,,split_with_sizes,"[[B, T, 2*d_k_lin+d_v_lin]]",,,"[[B, T, n_k*d_k], [B, T, n_k*d_k], [B, T, n_v*d_v]]",[4500],5,linear_attn,,1,model.layers.5.linear_attn,aten.split_with_sizes.default,[],prefill,True,
4502,linear_attn,,view,"[[B, T, n_k*d_k]]",,,"[[B, T, n_h_lin_k, d_head_lin_k]]",[4501],5,linear_attn,,1,model.layers.5.linear_attn,aten.view.default,[],prefill,True,
4503,linear_attn,,view,"[[B, T, n_k*d_k]]",,,"[[B, T, n_h_lin_k, d_head_lin_k]]",[4501],5,linear_attn,,1,model.layers.5.linear_attn,aten.view.default,[],prefill,True,
4504,linear_attn,,view,"[[B, T, n_v*d_v]]",,,"[[B, T, n_h_lin_v, d_head_lin_v]]",[4501],5,linear_attn,,1,model.layers.5.linear_attn,aten.view.default,[],prefill,True,
4505,linear_attn,,sigmoid,"[[B, T, n_h_lin_v]]",,,"[[B, T, n_h_lin_v]]",[4488],5,linear_attn,,1,model.layers.5.linear_attn,aten.sigmoid.default,[],prefill,False,
4506,linear_attn,,_to_copy,[[n_h_lin_v]],,,[[n_h_lin_v]],[],5,linear_attn,,1,model.layers.5.linear_attn,aten._to_copy.default,[model.layers.5.linear_attn.A_log],prefill,True,
4507,linear_attn,,exp,[[n_h_lin_v]],,,[[n_h_lin_v]],[4506],5,linear_attn,,1,model.layers.5.linear_attn,aten.exp.default,[model.layers.5.linear_attn.A_log],prefill,False,
4508,linear_attn,,neg,[[n_h_lin_v]],,,[[n_h_lin_v]],[4507],5,linear_attn,,1,model.layers.5.linear_attn,aten.neg.default,[],prefill,False,
4509,linear_attn,,_to_copy,"[[B, T, n_h_lin_v]]",,,"[[B, T, n_h_lin_v]]",[4492],5,linear_attn,,1,model.layers.5.linear_attn,aten._to_copy.default,[],prefill,True,
4510,linear_attn,,elementwise_add,"[[B, T, n_h_lin_v], [n_h_lin_v]]",,,"[[B, T, n_h_lin_v]]",[4509],5,linear_attn,,1,model.layers.5.linear_attn,aten.add.Tensor,[model.layers.5.linear_attn.dt_bias],prefill,False,
4511,linear_attn,,softplus,"[[B, T, n_h_lin_v]]",,,"[[B, T, n_h_lin_v]]",[4510],5,linear_attn,,1,model.layers.5.linear_attn,aten.softplus.default,[],prefill,True,
4512,linear_attn,,elementwise_mul,"[[n_h_lin_v], [B, T, n_h_lin_v]]",,,"[[B, T, n_h_lin_v]]","[4508, 4511]",5,linear_attn,,1,model.layers.5.linear_attn,aten.mul.Tensor,[],prefill,False,
4513,linear_attn,,unsqueeze,"[[B, T, n_h_lin_k, d_head_lin_k]]",,,"[[B, T, n_h_lin_k, 1, d_head_lin_k]]",[4502],5,linear_attn,,1,model.layers.5.linear_attn,aten.unsqueeze.default,[],prefill,True,
4514,linear_attn,,expand,"[[B, T, n_h_lin_k, 1, d_head_lin_k]]",,,"[[B, T, n_h_lin_k, n_v/n_k, d_head_lin_k]]",[4513],5,linear_attn,,1,model.layers.5.linear_attn,aten.expand.default,[],prefill,True,
4515,linear_attn,,clone,"[[B, T, n_h_lin_k, n_v/n_k, d_head_lin_k]]",,,"[[B, T, n_h_lin_k, n_v/n_k, d_head_lin_k]]",[4514],5,linear_attn,,1,model.layers.5.linear_attn,aten.clone.default,[],prefill,True,
4516,linear_attn,,view,"[[B, T, n_h_lin_k, n_v/n_k, d_head_lin_k]]",,,"[[B, T, n_h_lin_v, d_head_lin_k]]",[4515],5,linear_attn,,1,model.layers.5.linear_attn,aten.view.default,[],prefill,True,
4517,linear_attn,,unsqueeze,"[[B, T, n_h_lin_k, d_head_lin_k]]",,,"[[B, T, n_h_lin_k, 1, d_head_lin_k]]",[4503],5,linear_attn,,1,model.layers.5.linear_attn,aten.unsqueeze.default,[],prefill,True,
4518,linear_attn,,expand,"[[B, T, n_h_lin_k, 1, d_head_lin_k]]",,,"[[B, T, n_h_lin_k, n_v/n_k, d_head_lin_k]]",[4517],5,linear_attn,,1,model.layers.5.linear_attn,aten.expand.default,[],prefill,True,
4519,linear_attn,,clone,"[[B, T, n_h_lin_k, n_v/n_k, d_head_lin_k]]",,,"[[B, T, n_h_lin_k, n_v/n_k, d_head_lin_k]]",[4518],5,linear_attn,,1,model.layers.5.linear_attn,aten.clone.default,[],prefill,True,
4520,linear_attn,,view,"[[B, T, n_h_lin_k, n_v/n_k, d_head_lin_k]]",,,"[[B, T, n_h_lin_v, d_head_lin_k]]",[4519],5,linear_attn,,1,model.layers.5.linear_attn,aten.view.default,[],prefill,True,
4521,linear_attn,,elementwise_mul,"[[B, T, n_h_lin_v, d_head_lin_k], [B, T, n_h_lin_v, d_head_lin_k]]",,,"[[B, T, n_h_lin_v, d_head_lin_k]]",[4516],5,linear_attn,,1,model.layers.5.linear_attn,aten.mul.Tensor,[],prefill,False,
4522,linear_attn,,sum,"[[B, T, n_h_lin_v, d_head_lin_k]]",,,"[[B, T, n_h_lin_v, 1]]",[4521],5,linear_attn,,1,model.layers.5.linear_attn,aten.sum.dim_IntList,[],prefill,True,
4523,linear_attn,,elementwise_add,"[[B, T, n_h_lin_v, 1]]",,,"[[B, T, n_h_lin_v, 1]]",[4522],5,linear_attn,,1,model.layers.5.linear_attn,aten.add.Tensor,[],prefill,False,
4524,linear_attn,,rsqrt,"[[B, T, n_h_lin_v, 1]]",,,"[[B, T, n_h_lin_v, 1]]",[4523],5,linear_attn,,1,model.layers.5.linear_attn,aten.rsqrt.default,[],prefill,False,
4525,linear_attn,,elementwise_mul,"[[B, T, n_h_lin_v, d_head_lin_k], [B, T, n_h_lin_v, 1]]",,,"[[B, T, n_h_lin_v, d_head_lin_k]]","[4516, 4524]",5,linear_attn,,1,model.layers.5.linear_attn,aten.mul.Tensor,[],prefill,False,
4526,linear_attn,,elementwise_mul,"[[B, T, n_h_lin_v, d_head_lin_k], [B, T, n_h_lin_v, d_head_lin_k]]",,,"[[B, T, n_h_lin_v, d_head_lin_k]]",[4520],5,linear_attn,,1,model.layers.5.linear_attn,aten.mul.Tensor,[],prefill,False,
4527,linear_attn,,sum,"[[B, T, n_h_lin_v, d_head_lin_k]]",,,"[[B, T, n_h_lin_v, 1]]",[4526],5,linear_attn,,1,model.layers.5.linear_attn,aten.sum.dim_IntList,[],prefill,True,
4528,linear_attn,,elementwise_add,"[[B, T, n_h_lin_v, 1]]",,,"[[B, T, n_h_lin_v, 1]]",[4527],5,linear_attn,,1,model.layers.5.linear_attn,aten.add.Tensor,[],prefill,False,
4529,linear_attn,,rsqrt,"[[B, T, n_h_lin_v, 1]]",,,"[[B, T, n_h_lin_v, 1]]",[4528],5,linear_attn,,1,model.layers.5.linear_attn,aten.rsqrt.default,[],prefill,False,
4530,linear_attn,,elementwise_mul,"[[B, T, n_h_lin_v, d_head_lin_k], [B, T, n_h_lin_v, 1]]",,,"[[B, T, n_h_lin_v, d_head_lin_k]]","[4520, 4529]",5,linear_attn,,1,model.layers.5.linear_attn,aten.mul.Tensor,[],prefill,False,
4531,linear_attn,,transpose,"[[B, T, n_h_lin_v, d_head_lin_k]]",,,"[[B, n_h_lin_v, T, d_head_lin_k]]",[4525],5,linear_attn,,1,model.layers.5.linear_attn,aten.transpose.int,[],prefill,True,
4532,linear_attn,,clone,"[[B, n_h_lin_v, T, d_head_lin_k]]",,,"[[B, n_h_lin_v, T, d_head_lin_k]]",[4531],5,linear_attn,,1,model.layers.5.linear_attn,aten.clone.default,[],prefill,True,
4533,linear_attn,,_to_copy,"[[B, n_h_lin_v, T, d_head_lin_k]]",,,"[[B, n_h_lin_v, T, d_head_lin_k]]",[4532],5,linear_attn,,1,model.layers.5.linear_attn,aten._to_copy.default,[],prefill,True,
4534,linear_attn,,transpose,"[[B, T, n_h_lin_v, d_head_lin_k]]",,,"[[B, n_h_lin_v, T, d_head_lin_k]]",[4530],5,linear_attn,,1,model.layers.5.linear_attn,aten.transpose.int,[],prefill,True,
4535,linear_attn,,clone,"[[B, n_h_lin_v, T, d_head_lin_k]]",,,"[[B, n_h_lin_v, T, d_head_lin_k]]",[4534],5,linear_attn,,1,model.layers.5.linear_attn,aten.clone.default,[],prefill,True,
4536,linear_attn,,_to_copy,"[[B, n_h_lin_v, T, d_head_lin_k]]",,,"[[B, n_h_lin_v, T, d_head_lin_k]]",[4535],5,linear_attn,,1,model.layers.5.linear_attn,aten._to_copy.default,[],prefill,True,
4537,linear_attn,,transpose,"[[B, T, n_h_lin_v, d_head_lin_v]]",,,"[[B, n_h_lin_v, T, d_head_lin_v]]",[4504],5,linear_attn,,1,model.layers.5.linear_attn,aten.transpose.int,[],prefill,True,
4538,linear_attn,,clone,"[[B, n_h_lin_v, T, d_head_lin_v]]",,,"[[B, n_h_lin_v, T, d_head_lin_v]]",[4537],5,linear_attn,,1,model.layers.5.linear_attn,aten.clone.default,[],prefill,True,
4539,linear_attn,,_to_copy,"[[B, n_h_lin_v, T, d_head_lin_v]]",,,"[[B, n_h_lin_v, T, d_head_lin_v]]",[4538],5,linear_attn,,1,model.layers.5.linear_attn,aten._to_copy.default,[],prefill,True,
4540,linear_attn,,transpose,"[[B, T, n_h_lin_v]]",,,"[[B, n_h_lin_v, T]]",[4505],5,linear_attn,,1,model.layers.5.linear_attn,aten.transpose.int,[],prefill,True,
4541,linear_attn,,clone,"[[B, n_h_lin_v, T]]",,,"[[B, n_h_lin_v, T]]",[4540],5,linear_attn,,1,model.layers.5.linear_attn,aten.clone.default,[],prefill,True,
4542,linear_attn,,_to_copy,"[[B, n_h_lin_v, T]]",,,"[[B, n_h_lin_v, T]]",[4541],5,linear_attn,,1,model.layers.5.linear_attn,aten._to_copy.default,[],prefill,True,
4543,linear_attn,,transpose,"[[B, T, n_h_lin_v]]",,,"[[B, n_h_lin_v, T]]",[4512],5,linear_attn,,1,model.layers.5.linear_attn,aten.transpose.int,[],prefill,True,
4544,linear_attn,,clone,"[[B, n_h_lin_v, T]]",,,"[[B, n_h_lin_v, T]]",[4543],5,linear_attn,,1,model.layers.5.linear_attn,aten.clone.default,[],prefill,True,
4545,linear_attn,,constant_pad_nd,"[[B, n_h_lin_v, T, d_head_lin_k]]",,,"[[B, n_h_lin_v, d_chunk, d_head_lin_k]]",[4533],5,linear_attn,,1,model.layers.5.linear_attn,aten.constant_pad_nd.default,[],prefill,True,
4546,linear_attn,,constant_pad_nd,"[[B, n_h_lin_v, T, d_head_lin_k]]",,,"[[B, n_h_lin_v, d_chunk, d_head_lin_k]]",[4536],5,linear_attn,,1,model.layers.5.linear_attn,aten.constant_pad_nd.default,[],prefill,True,
4547,linear_attn,,constant_pad_nd,"[[B, n_h_lin_v, T, d_head_lin_v]]",,,"[[B, n_h_lin_v, d_chunk, d_head_lin_v]]",[4539],5,linear_attn,,1,model.layers.5.linear_attn,aten.constant_pad_nd.default,[],prefill,True,
4548,linear_attn,,constant_pad_nd,"[[B, n_h_lin_v, T]]",,,"[[B, n_h_lin_v, d_chunk]]",[4542],5,linear_attn,,1,model.layers.5.linear_attn,aten.constant_pad_nd.default,[],prefill,True,
4549,linear_attn,,constant_pad_nd,"[[B, n_h_lin_v, T]]",,,"[[B, n_h_lin_v, d_chunk]]",[4544],5,linear_attn,,1,model.layers.5.linear_attn,aten.constant_pad_nd.default,[],prefill,True,
4550,linear_attn,,elementwise_mul,"[[B, n_h_lin_v, d_chunk, d_head_lin_k]]",,,"[[B, n_h_lin_v, d_chunk, d_head_lin_k]]",[4545],5,linear_attn,,1,model.layers.5.linear_attn,aten.mul.Tensor,[],prefill,False,
4551,linear_attn,,unsqueeze,"[[B, n_h_lin_v, d_chunk]]",,,"[[B, n_h_lin_v, d_chunk, 1]]",[4548],5,linear_attn,,1,model.layers.5.linear_attn,aten.unsqueeze.default,[],prefill,True,
4552,linear_attn,,elementwise_mul,"[[B, n_h_lin_v, d_chunk, d_head_lin_v], [B, n_h_lin_v, d_chunk, 1]]",,,"[[B, n_h_lin_v, d_chunk, d_head_lin_v]]","[4547, 4551]",5,linear_attn,,1,model.layers.5.linear_attn,aten.mul.Tensor,[],prefill,False,
4553,linear_attn,,unsqueeze,"[[B, n_h_lin_v, d_chunk]]",,,"[[B, n_h_lin_v, d_chunk, 1]]",[4548],5,linear_attn,,1,model.layers.5.linear_attn,aten.unsqueeze.default,[],prefill,True,
4554,linear_attn,,elementwise_mul,"[[B, n_h_lin_v, d_chunk, d_head_lin_k], [B, n_h_lin_v, d_chunk, 1]]",,,"[[B, n_h_lin_v, d_chunk, d_head_lin_k]]","[4546, 4553]",5,linear_attn,,1,model.layers.5.linear_attn,aten.mul.Tensor,[],prefill,False,
4555,linear_attn,,view,"[[B, n_h_lin_v, d_chunk, d_head_lin_k]]",,,"[[B, n_h_lin_v, 1, d_chunk, d_head_lin_k]]",[4550],5,linear_attn,,1,model.layers.5.linear_attn,aten.view.default,[],prefill,True,
4556,linear_attn,,view,"[[B, n_h_lin_v, d_chunk, d_head_lin_k]]",,,"[[B, n_h_lin_v, 1, d_chunk, d_head_lin_k]]",[4546],5,linear_attn,,1,model.layers.5.linear_attn,aten.view.default,[],prefill,True,
4557,linear_attn,,view,"[[B, n_h_lin_v, d_chunk, d_head_lin_v]]",,,"[[B, n_h_lin_v, 1, d_chunk, d_head_lin_v]]",[4547],5,linear_attn,,1,model.layers.5.linear_attn,aten.view.default,[],prefill,True,
4558,linear_attn,,view,"[[B, n_h_lin_v, d_chunk, d_head_lin_k]]",,,"[[B, n_h_lin_v, 1, d_chunk, d_head_lin_k]]",[4554],5,linear_attn,,1,model.layers.5.linear_attn,aten.view.default,[],prefill,True,
4559,linear_attn,,view,"[[B, n_h_lin_v, d_chunk, d_head_lin_v]]",,,"[[B, n_h_lin_v, 1, d_chunk, d_head_lin_v]]",[4552],5,linear_attn,,1,model.layers.5.linear_attn,aten.view.default,[],prefill,True,
4560,linear_attn,,view,"[[B, n_h_lin_v, d_chunk]]",,,"[[B, n_h_lin_v, 1, d_chunk]]",[4549],5,linear_attn,,1,model.layers.5.linear_attn,aten.view.default,[],prefill,True,
4561,linear_attn,,ones,[],,,"[[d_chunk, d_chunk]]",[],5,linear_attn,,1,model.layers.5.linear_attn,aten.ones.default,[],prefill,True,
4562,linear_attn,,triu,"[[d_chunk, d_chunk]]",,,"[[d_chunk, d_chunk]]",[4561],5,linear_attn,,1,model.layers.5.linear_attn,aten.triu.default,[],prefill,True,
4563,linear_attn,,cumsum,"[[B, n_h_lin_v, 1, d_chunk]]",,,"[[B, n_h_lin_v, 1, d_chunk]]",[4560],5,linear_attn,,1,model.layers.5.linear_attn,aten.cumsum.default,[],prefill,False,
4564,linear_attn,,unsqueeze,"[[B, n_h_lin_v, 1, d_chunk]]",,,"[[B, n_h_lin_v, 1, d_chunk, 1]]",[4563],5,linear_attn,,1,model.layers.5.linear_attn,aten.unsqueeze.default,[],prefill,True,
4565,linear_attn,,unsqueeze,"[[B, n_h_lin_v, 1, d_chunk]]",,,"[[B, n_h_lin_v, 1, 1, d_chunk]]",[4563],5,linear_attn,,1,model.layers.5.linear_attn,aten.unsqueeze.default,[],prefill,True,
4566,linear_attn,,sub,"[[B, n_h_lin_v, 1, d_chunk, 1], [B, n_h_lin_v, 1, 1, d_chunk]]",,,"[[B, n_h_lin_v, 1, d_chunk, d_chunk]]","[4564, 4565]",5,linear_attn,,1,model.layers.5.linear_attn,aten.sub.Tensor,[],prefill,True,
4567,linear_attn,,tril,"[[B, n_h_lin_v, 1, d_chunk, d_chunk]]",,,"[[B, n_h_lin_v, 1, d_chunk, d_chunk]]",[4566],5,linear_attn,,1,model.layers.5.linear_attn,aten.tril.default,[],prefill,True,
4568,linear_attn,,exp,"[[B, n_h_lin_v, 1, d_chunk, d_chunk]]",,,"[[B, n_h_lin_v, 1, d_chunk, d_chunk]]",[4567],5,linear_attn,,1,model.layers.5.linear_attn,aten.exp.default,[],prefill,False,
4569,linear_attn,,tril,"[[B, n_h_lin_v, 1, d_chunk, d_chunk]]",,,"[[B, n_h_lin_v, 1, d_chunk, d_chunk]]",[4568],5,linear_attn,,1,model.layers.5.linear_attn,aten.tril.default,[],prefill,True,
4570,linear_attn,,transpose,"[[B, n_h_lin_v, 1, d_chunk, d_head_lin_k]]",,,"[[B, n_h_lin_v, 1, d_head_lin_k, d_chunk]]",[4556],5,linear_attn,,1,model.layers.5.linear_attn,aten.transpose.int,[],prefill,True,
4571,linear_attn,,expand,"[[B, n_h_lin_v, 1, d_chunk, d_head_lin_k]]",,,"[[B, n_h_lin_v, 1, d_chunk, d_head_lin_k]]",[4558],5,linear_attn,,1,model.layers.5.linear_attn,aten.expand.default,[],prefill,True,
4572,linear_attn,,view,"[[B, n_h_lin_v, 1, d_chunk, d_head_lin_k]]",,,"[[n_h_lin_v, d_chunk, d_head_lin_k]]",[4571],5,linear_attn,,1,model.layers.5.linear_attn,aten.view.default,[],prefill,True,
4573,linear_attn,,expand,"[[B, n_h_lin_v, 1, d_head_lin_k, d_chunk]]",,,"[[B, n_h_lin_v, 1, d_head_lin_k, d_chunk]]",[4570],5,linear_attn,,1,model.layers.5.linear_attn,aten.expand.default,[],prefill,True,
4574,linear_attn,,view,"[[B, n_h_lin_v, 1, d_head_lin_k, d_chunk]]",,,"[[n_h_lin_v, d_head_lin_k, d_chunk]]",[4573],5,linear_attn,,1,model.layers.5.linear_attn,aten.view.default,[],prefill,True,
4575,linear_attn,,batched_matmul,"[[n_h_lin_v, d_chunk, d_head_lin_k], [n_h_lin_v, d_head_lin_k, d_chunk]]",,,"[[n_h_lin_v, d_chunk, d_chunk]]","[4572, 4574]",5,linear_attn,,1,model.layers.5.linear_attn,aten.bmm.default,[],prefill,False,
4576,linear_attn,,_unsafe_view,"[[n_h_lin_v, d_chunk, d_chunk]]",,,"[[B, n_h_lin_v, 1, d_chunk, d_chunk]]",[4575],5,linear_attn,,1,model.layers.5.linear_attn,aten._unsafe_view.default,[],prefill,True,
4577,linear_attn,,elementwise_mul,"[[B, n_h_lin_v, 1, d_chunk, d_chunk], [B, n_h_lin_v, 1, d_chunk, d_chunk]]",,,"[[B, n_h_lin_v, 1, d_chunk, d_chunk]]","[4569, 4576]",5,linear_attn,,1,model.layers.5.linear_attn,aten.mul.Tensor,[],prefill,False,
4578,linear_attn,,masked_fill,"[[B, n_h_lin_v, 1, d_chunk, d_chunk], [d_chunk, d_chunk]]",,,"[[B, n_h_lin_v, 1, d_chunk, d_chunk]]","[4562, 4577]",5,linear_attn,,1,model.layers.5.linear_attn,aten.masked_fill.Scalar,[],prefill,True,
4579,linear_attn,,neg,"[[B, n_h_lin_v, 1, d_chunk, d_chunk]]",,,"[[B, n_h_lin_v, 1, d_chunk, d_chunk]]",[4578],5,linear_attn,,1,model.layers.5.linear_attn,aten.neg.default,[],prefill,False,
4580,linear_attn,,select,"[[B, n_h_lin_v, 1, d_chunk, d_chunk]]",,,"[[B, n_h_lin_v, 1, d_chunk]]",[4579],5,linear_attn,,1,model.layers.5.linear_attn,aten.select.int,[],prefill,True,
4581,linear_attn,,slice,"[[B, n_h_lin_v, 1, d_chunk]]",,,"[[B, n_h_lin_v, 1, 1]]",[4580],5,linear_attn,,1,model.layers.5.linear_attn,aten.slice.Tensor,[],prefill,True,
4582,linear_attn,,clone,"[[B, n_h_lin_v, 1, 1]]",,,"[[B, n_h_lin_v, 1, 1]]",[4581],5,linear_attn,,1,model.layers.5.linear_attn,aten.clone.default,[],prefill,True,
4583,linear_attn,,slice,"[[B, n_h_lin_v, 1, d_chunk, d_chunk]]",,,"[[B, n_h_lin_v, 1, 1, 64]]",[4579],5,linear_attn,,1,model.layers.5.linear_attn,aten.slice.Tensor,[],prefill,True,
4584,linear_attn,,slice,"[[B, n_h_lin_v, 1, 1, 64]]",,,"[[B, n_h_lin_v, 1, 1, 1]]",[4583],5,linear_attn,,1,model.layers.5.linear_attn,aten.slice.Tensor,[],prefill,True,
4585,linear_attn,,clone,"[[B, n_h_lin_v, 1, 1, 1]]",,,"[[B, n_h_lin_v, 1, 1, 1]]",[4584],5,linear_attn,,1,model.layers.5.linear_attn,aten.clone.default,[],prefill,True,
4586,linear_attn,,unsqueeze,"[[B, n_h_lin_v, 1, 1]]",,,"[[B, n_h_lin_v, 1, 1, 1]]",[4582],5,linear_attn,,1,model.layers.5.linear_attn,aten.unsqueeze.default,[],prefill,True,
4587,linear_attn,,elementwise_mul,"[[B, n_h_lin_v, 1, 1, 1], [B, n_h_lin_v, 1, 1, 1]]",,,"[[B, n_h_lin_v, 1, 1, 1]]","[4585, 4586]",5,linear_attn,,1,model.layers.5.linear_attn,aten.mul.Tensor,[],prefill,False,
4588,linear_attn,,sum,"[[B, n_h_lin_v, 1, 1, 1]]",,,"[[B, n_h_lin_v, 1, 1]]",[4587],5,linear_attn,,1,model.layers.5.linear_attn,aten.sum.dim_IntList,[],prefill,True,
